tavg,tx,tn,rhavg,rhx,rhn,td,ddavg,ffavg,rr,lwavg,pavg,gSunRadavg,tgavg_5_cm,tgavg_10_cm,tgavg_30_cm,smavg_10_cm,smavg_30_cm,tavg50,tx50,tn50
1.5,1.7000000000000002,1.1,98.9,100.0,96.4,1.3,158.6,8.0,0.0,10,,,,,,,,,,
1.6,1.8,1.3,95.5,97.0,94.5,1.0,151.1,6.7,0.0,10,,,,,,,,,,
1.6,2.0,1.3,95.3,97.5,92.6,0.9,193.5,7.3,0.0,10,,,,,,,,,,
1.9,2.1,1.7000000000000002,93.1,94.6,91.0,0.9,174.4,8.5,0.0,10,,,,,,,,,,
2.0,2.1,1.9,91.7,92.4,91.0,0.8,173.3,11.3,0.0,10,,,,,,,,,,
2.1,2.3,1.9,91.3,92.5,89.2,0.8,166.1,10.4,0.0,10,,,,,,,,,,
2.1,2.3,2.0,90.7,91.8,89.4,0.7000000000000001,162.4,10.4,0.0,10,,,,,,,,,,
80.0,2.0,1.6,92.0,92.8,91.2,0.6000000000000001,126.1,7.8,0.0,10,,,,,,,,,,
1.9,2.5,1.2,91.8,95.0,89.6,0.7000000000000001,168.3,7.4,0.0,10,,,,,,,,,,
2.7,3.2,2.5,90.0,91.1,88.7,1.2,160.7,9.1,0.0,10,,,,,,,,,,
4.0,4.7,3.3,86.1,88.8,83.9,1.9,170.8,15.8,0.0,10,,,,,,,,,,
78.0,5.2,4.9,83.5,84.1,82.6,2.5,170.4,12.4,0.0,7,,,,,,,,,,
5.6,5.8,5.2,82.9,84.0,81.9,2.9,170.5,13.2,0.0,0,,,,,,,,,,
5.5,6.0,5.4,83.4,84.3,82.0,2.9,171.6,11.4,0.0,0,,,,,,,,,,
6.9,7.3,6.1,77.9,81.9,74.6,3.3,181.5,14.0,0.0,0,,,,,,,,,,
7.3,7.5,7.2,74.2,76.0,73.4,3.0,171.2,16.2,0.0,0,,,,,,,,,,
7.1,7.4,6.7,75.4,76.5,73.7,3.1,176.4,16.4,0.0,0,,,,,,,,,,
6.8,7.1,6.6,76.9,77.9,75.7,3.0,165.7,19.0,0.0,0,,,,,,,,,,
-25.0,7.5,6.8,75.4,76.8,73.6,3.3,174.5,14.6,0.0,0,,,,,,,,,,
6.7,7.1,6.5,77.4,78.8,75.8,3.0,162.9,14.2,0.0,0,,,,,,,,,,
6.4,6.7,6.3,79.1,79.9,77.5,3.1,184.6,14.1,0.0,0,,,,,,,,,,
7.1,7.5,6.8,75.1,76.7,72.4,3.0,172.1,14.1,0.0,0,,,,,,,,,,
-1.2,8.1,7.5,70.5,72.7,68.5,2.9,198.2,13.5,0.0,0,,,,,,,,,,
8.0,8.2,7.7,69.3,71.3,67.5,2.7,189.2,17.9,0.0,0,,,,,,,,,,
8.1,8.4,7.9,67.5,69.4,65.1,2.5,191.4,19.4,0.0,0,,,,,,,,,,
8.5,8.6,8.3,63.9,65.7,62.3,2.1,205.0,21.8,0.0,0,,,,,,,,,,
8.4,8.5,8.3,63.2,64.5,61.9,1.8,206.4,21.6,0.0,0,,,,,,,,,,
8.4,8.5,8.3,61.5,62.5,60.6,1.5,180.1,20.2,0.0,0,,,,,,,,,,
8.6,8.7,8.4,59.7,60.7,58.8,1.2,178.5,18.4,0.0,0,,,,,,,,,,
90.0,8.7,8.5,59.9,61.0,58.6,1.3,203.2,25.5,0.0,0,,,,,,,,,,
8.7,8.8,8.6,60.2,60.7,59.3,1.4,198.5,25.3,0.0,0,,,,,,,,,,
8.7,8.8,8.6,62.5,64.0,60.9,2.0,186.0,24.9,0.0,0,,,,,,,,,,
8.8,8.8,8.7,65.1,66.2,63.8,2.6,199.8,23.1,0.0,0,,,,,,,,,,
8.8,8.8,8.7,67.0,67.5,66.3,3.0,190.1,24.6,0.0,0,,,,,,,,,,
50.0,8.8,8.7,68.3,69.0,67.3,3.2,173.8,22.4,0.0,0,,,,,,,,,,
8.7,8.8,8.6,69.0,69.9,68.5,3.3,189.2,24.4,0.0,0,,,,,,,,,,
8.7,8.8,8.6,69.6,70.5,68.7,3.5,196.1,26.5,0.0,0,,,,,,,,,,
8.6,8.7,8.6,71.4,72.4,70.5,3.7,185.2,30.2,0.0,0,,,,,,,,,,
8.5,8.8,8.1,75.3,80.6,71.8,4.4,193.7,28.8,0.0,1,,,,,,,,,,
45.0,8.2,7.6,82.8,87.0,80.3,5.3,192.7,23.9,0.0,10,,,,,,,,,,
8.2,8.6,7.7,82.0,86.2,78.1,5.3,200.0,27.8,0.0,2,,,,,,,,,,
8.8,8.9,8.5,77.4,79.1,76.3,5.1,196.0,23.8,0.0,0,,,,,,,,,,
8.9,8.9,8.7,77.6,79.7,76.3,5.2,219.1,23.1,0.0,0,,,,,,,,,,
9.2,9.4,9.0,75.7,77.8,74.3,5.1,192.2,24.5,0.0,0,,,,,,,,,,
9.5,9.6,9.4,74.2,75.3,73.2,5.1,198.5,27.4,0.0,0,,,,,,,,,,
9.6,9.8,9.3,74.3,76.0,73.3,5.3,185.5,26.1,0.0,0,,,,,,,,,,
9.7,9.8,9.6,74.2,74.5,73.8,5.3,181.4,27.9,0.0,0,,,,,,,,,,
9.6,9.8,9.4,75.8,77.6,74.3,5.6,192.3,25.6,0.0,1,,,,,,,,,,
9.9,10.0,9.7,73.6,76.0,72.4,5.4,212.0,27.4,0.0,0,,,,,,,,,,
42.5,10.2,10.0,71.7,72.4,71.2,5.2,192.5,27.2,0.0,0,,,,,,,,,,
10.2,10.3,10.0,71.3,72.0,70.2,5.3,171.1,23.0,0.0,0,,,,,,,,,,
10.1,10.2,10.0,72.1,72.9,71.4,5.3,194.0,22.3,0.0,0,,,,,,,,,,
10.0,10.2,9.9,73.1,73.9,72.1,5.4,185.8,20.3,0.0,0,,,,,,,,,,
9.6,9.9,9.5,75.1,76.1,73.5,5.4,183.7,18.9,0.0,0,,,,,,,,,,
9.3,9.5,9.2,76.5,77.3,75.8,5.4,176.8,18.2,0.0,0,,,,,,,,,,
9.5,9.7,9.4,75.9,76.6,75.2,5.5,185.6,21.1,0.0,0,,,,,,,,,,
9.7,9.8,9.6,75.6,76.0,74.9,5.6,178.5,22.4,0.0,0,,,,,,,,,,
9.7,9.9,9.5,76.7,77.3,76.1,5.8,176.9,19.4,0.0,0,,,,,,,,,,
10.1,10.4,9.9,75.8,76.4,75.1,6.0,184.2,20.4,0.0,0,,,,,,,,,,
10.7,10.8,10.5,74.4,74.8,73.9,6.3,184.6,19.7,0.0,0,,,,,,,,,,
11.0,11.3,10.8,73.6,74.2,72.9,6.5,181.5,22.0,0.0,0,,,,,,,,,,
11.6,11.8,11.3,72.3,73.0,71.6,6.8,185.0,22.8,0.0,0,,,,,,,,,,
12.1,12.3,11.7,70.8,71.7,70.0,7.0,193.2,21.5,0.0,0,,,,,,,,,,
12.7,12.9,12.3,68.7,69.9,67.8,7.1,198.8,18.1,0.0,0,,,,,,,,,,
12.8,13.1,12.6,68.1,68.9,66.9,7.1,205.4,15.3,0.0,0,,,,,,,,,,
8.0,12.9,12.6,67.2,68.5,66.3,6.9,190.5,21.7,0.0,0,,,,,,,,,,
